,CITY,STATE,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
551,Belo Jardim,PE,75729,20704.0,Indústrias de transformação,140460856,920,4,1,132,0,4,36,441,29,38,12,5,10,20,29,6,82,26,11,34,0,0,1,45,3,3,3,3,292849492,868495746,9061,14599,0,0,0,0,4
552,Belo Monte,AL,6786,9689.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,19,0,0,0,0,0,0,4,0,1,1,0,0,1,1,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,178,427,0,0,0,0,1
553,Belo Oriente,MG,25895,53660.0,Indústrias de transformação,0,329,3,1,21,0,1,18,158,28,15,6,0,1,11,17,2,6,11,2,28,0,0,0,0,3,2,3,2,151769679,148170275,4905,2444,0,0,0,0,5
554,Belo Vale,MG,7829,16776.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,174,1,10,7,0,0,7,67,18,13,1,3,0,4,9,2,7,4,5,16,0,0,0,0,0,0,0,0,0,0,2131,1137,1,0,0,0,2
555,Belterra,PA,17145,8833.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,47,3,0,3,0,0,1,14,5,4,1,0,0,1,1,2,4,1,0,7,0,0,0,0,0,0,0,0,0,0,654,1649,0,0,0,0,1
556,Belágua,MA,7350,5658.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,18,0,0,0,0,0,1,8,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,74,271,0,0,0,0,1
557,Belém,PB,17640,8744.0,"Administração, defesa, educação e saúde públicas e seguridade social",28588605,180,1,0,12,0,1,0,92,1,6,3,0,0,1,3,4,28,5,6,17,0,0,0,0,1,0,1,0,85320161,0,1518,1992,0,0,0,0,2
558,Belém,PA,1446042,20350.0,Demais serviços,2521079357,17741,80,9,852,3,18,1018,7068,440,1060,329,268,176,1183,1896,92,617,1172,253,1204,0,3,18,1580,56,57,6,4,9769492872,119243502877,231612,141727,15,1,3,0,17
559,Belém,AL,4517,8037.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,26,0,0,0,0,0,0,14,2,0,1,0,0,1,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,328,654,0,0,0,0,1
560,Belém De Maria,PE,11941,6030.0,"Administração, defesa, educação e saúde públicas e seguridade social",23246949,44,3,0,4,0,0,1,23,0,1,2,0,0,1,1,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,795,814,0,0,0,0,1
561,Belém Do Brejo Do Cruz,PB,7334,8078.0,"Administração, defesa, educação e saúde públicas e seguridade social",18101841,53,0,0,4,0,2,2,24,0,0,0,0,0,1,2,3,7,1,1,6,0,0,0,0,0,0,0,0,0,0,171,844,0,0,0,0,1
562,Belém Do Piauí,PI,3485,7128.0,"Administração, defesa, educação e saúde públicas e seguridade social",10795921,38,1,0,0,1,0,4,20,0,2,2,0,0,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,162,209,0,0,0,0,1
563,Belém Do São Francisco,PE,20672,9108.0,"Administração, defesa, educação e saúde públicas e seguridade social",37874998,134,8,0,3,0,0,3,68,6,3,2,0,0,5,0,3,9,4,2,18,0,0,0,0,0,1,0,1,0,48162093,1279,2509,0,0,0,0,3
564,Beneditinos,PI,10032,6379.0,"Administração, defesa, educação e saúde públicas e seguridade social",23857643,76,1,0,1,0,0,2,59,0,0,1,0,0,1,1,3,2,1,0,4,0,0,0,0,0,0,0,0,0,0,316,1768,0,0,0,0,1
565,Benedito Leite,MA,5524,6543.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,33,3,0,0,0,0,0,13,6,1,0,0,0,0,1,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,34,136,0,0,0,0,1
566,Benedito Novo,SC,11297,22642.0,Indústrias de transformação,23444044,447,8,0,163,5,1,23,103,25,27,3,2,0,8,10,3,28,3,9,26,0,0,0,0,1,1,1,1,31661659,50095766,4383,2975,5,0,0,0,3
567,Benevides,PA,59836,21553.0,Indústrias de transformação,89445403,556,10,1,92,0,1,28,266,28,22,1,2,2,12,18,3,30,8,4,28,0,0,1,50,1,3,1,3,48459074,165449168,4208,6316,0,0,0,0,1
568,Benjamin Constant,AM,40417,6603.0,"Administração, defesa, educação e saúde públicas e seguridade social",69607291,55,0,0,2,0,1,0,36,1,1,2,0,0,2,1,3,2,1,0,3,0,0,0,0,1,0,1,0,27245740,0,59,1388,0,0,0,0,1
569,Benjamin Constant Do Sul,RS,2245,14025.0,"Administração, defesa, educação e saúde públicas e seguridade social",12062016,40,0,0,1,0,0,0,14,5,0,0,0,0,0,0,1,6,1,0,12,0,0,0,0,0,0,0,0,0,0,511,203,0,0,0,0,1
570,Bento De Abreu,SP,2902,44106.0,Indústrias de transformação,14283023,72,20,0,3,0,0,1,21,9,9,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,861,263,0,0,0,0,1
571,Bento Fernandes,RN,5493,7387.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,30,1,0,1,0,0,1,8,0,1,0,0,0,0,3,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,441,631,0,0,0,0,1
572,Bento Gonçalves,RS,114203,47658.0,Demais serviços,309328033,7169,11,4,1233,1,5,509,2192,468,366,141,169,143,421,687,6,183,239,105,286,0,0,3,253,8,10,3,3,1392218115,8367362761,51473,13222,95,0,0,1,9
573,Bequimão,MA,20867,5341.0,"Administração, defesa, educação e saúde públicas e seguridade social",36948179,76,1,0,0,0,0,0,50,0,1,0,0,0,0,1,1,12,2,0,8,0,0,0,0,1,0,1,0,23367069,0,371,2222,0,0,0,0,1
574,Berilo,MG,12394,7036.0,"Administração, defesa, educação e saúde públicas e seguridade social",18749331,137,0,1,7,0,0,4,64,5,7,3,0,0,5,5,2,11,9,1,13,0,0,0,0,0,1,0,1,0,88846896,885,2141,0,0,0,0,2
575,Berizal,MG,4691,9547.0,"Administração, defesa, educação e saúde públicas e seguridade social",11183444,61,1,0,10,0,0,2,29,2,1,1,0,0,0,1,3,2,2,0,7,0,0,0,0,0,0,0,0,0,0,429,753,1,0,0,0,1
576,Bernardino Batista,PB,3398,8580.0,"Administração, defesa, educação e saúde públicas e seguridade social",15634635,16,0,0,2,0,0,0,7,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,117,277,0,0,0,0,1
577,Bernardino De Campos,SP,11169,18250.0,Demais serviços,28233863,576,235,0,41,0,4,7,147,25,36,5,1,2,11,13,2,11,14,2,20,0,0,0,0,1,1,1,1,64619868,54203615,4161,1050,0,0,0,0,1
578,Bernardo Do Mearim,MA,5938,8359.0,"Administração, defesa, educação e saúde públicas e seguridade social",14156732,38,0,0,1,0,0,3,22,0,1,0,0,0,1,1,1,3,0,0,5,0,0,0,0,0,0,0,0,0,0,127,1260,0,0,0,0,1
579,Bernardo Sayão,TO,4525,16692.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,33,2,0,2,0,0,0,19,0,0,0,0,0,2,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,257,1057,0,0,0,0,1
580,Bertioga,SP,57942,25675.0,Demais serviços,306430787,1834,3,0,39,0,5,108,592,14,218,21,16,55,40,548,3,38,30,27,77,0,0,1,44,2,3,2,2,375296832,402652851,12857,7362,29,0,2,0,2
581,Bertolínia,PI,5408,8710.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,57,0,0,1,0,0,1,44,1,0,0,0,0,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,248,837,1,0,0,0,1
582,Bertópolis,MG,4671,8015.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,38,0,1,2,0,0,1,10,0,0,0,0,0,0,2,3,4,2,0,13,0,0,0,0,0,0,0,0,0,0,241,314,0,0,0,0,2
583,Beruri,AM,18579,6558.0,"Administração, defesa, educação e saúde públicas e seguridade social",41511821,53,0,0,3,0,1,2,41,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,1,0,1,0,11016515,0,24,329,0,0,0,0,1
584,Betim,MG,422354,59534.0,Indústrias de transformação,1266937517,6995,20,8,808,0,29,406,2515,773,411,88,69,90,297,443,5,293,195,94,451,0,0,0,0,15,9,4,2,2270170856,6527901114,116202,32072,106,0,3,0,6
585,Betânia,PE,12589,5700.0,"Administração, defesa, educação e saúde públicas e seguridade social",27276918,39,1,0,0,0,0,0,31,1,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,573,1942,0,0,0,0,1
586,Betânia Do Piauí,PI,6102,7036.0,"Administração, defesa, educação e saúde públicas e seguridade social",16103016,45,0,0,2,0,0,0,21,0,0,0,0,0,0,1,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,233,608,0,0,0,0,1
587,Bezerros,PE,60469,10630.0,"Administração, defesa, educação e saúde públicas e seguridade social",97119770,791,9,2,126,0,2,24,390,18,47,11,2,9,24,43,3,27,16,13,25,0,0,0,0,2,3,2,3,186722065,515901118,8074,11682,0,0,0,0,8
588,Bias Fortes,MG,3648,8846.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,23,2,0,2,0,0,0,10,0,0,0,0,0,0,1,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,572,343,0,0,0,0,1
589,Bicas,MG,14481,16009.0,Demais serviços,25689872,541,3,0,79,0,0,18,232,10,53,9,2,3,23,20,2,16,18,12,41,0,0,0,0,1,2,1,2,39953238,306476350,4809,1266,0,0,0,0,1
590,Biguaçu,SC,65528,23224.0,Demais serviços,0,1956,5,1,216,1,6,230,725,132,104,45,18,32,88,157,3,48,42,24,79,0,0,0,0,2,2,2,2,119640833,835757891,25082,12223,73,0,0,0,3
591,Bilac,SP,7761,24144.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",20785826,329,3,0,36,0,1,8,158,12,24,5,2,1,11,13,3,9,7,7,29,0,0,0,0,1,1,1,1,85441008,47389746,2996,1368,10,0,0,0,1
592,Biquinhas,MG,2630,14853.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,74,2,0,2,0,0,0,34,7,1,0,0,0,4,2,5,4,2,1,10,0,0,0,0,0,0,0,0,0,0,776,334,0,0,0,0,1
593,Birigui,SP,119536,27390.0,Demais serviços,275766211,4168,257,1,867,0,9,141,1696,132,204,69,36,69,108,216,4,53,126,41,139,0,0,1,136,8,4,4,2,1264489203,2662854347,46027,39812,4,0,0,0,2
594,Biritiba Mirim,SP,31479,23460.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",51979972,489,113,4,11,0,0,9,210,19,35,5,5,1,10,21,3,11,10,2,20,0,0,0,0,1,2,1,2,11734766,246070558,8528,1967,19,0,0,0,1
595,Biritinga,BA,16628,6464.0,"Administração, defesa, educação e saúde públicas e seguridade social",34634978,215,3,0,5,0,0,2,81,2,6,3,0,0,3,5,2,34,3,6,60,0,0,0,0,0,0,0,0,0,0,1012,1209,0,0,0,0,1
596,Bituruna,PR,16511,17642.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,379,20,1,92,0,2,8,130,22,16,0,1,0,4,6,2,18,9,4,44,0,0,0,0,2,1,2,1,41155870,65979265,5220,1737,0,0,0,0,2
597,Blumenau,SC,343715,44791.0,Demais serviços,1187983239,19430,26,7,2778,24,45,1287,6078,703,1015,729,470,897,1380,1913,28,474,530,259,787,0,0,3,118,35,22,6,3,7963976513,218056423770,173136,50949,348,1,3,1,11
598,Boa Esperança,PR,4438,47793.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",19230043,154,7,0,8,0,1,5,83,4,11,3,1,1,2,7,2,3,3,6,7,0,0,0,0,0,1,0,1,0,131482963,1445,887,1,0,0,0,3
599,Boa Esperança,ES,15390,14289.0,Demais serviços,0,345,8,0,26,0,1,13,153,15,18,5,0,1,10,14,3,19,6,3,50,0,0,0,0,0,2,0,2,0,185959970,1924,3121,1,0,0,0,4
600,Boa Esperança,MG,40412,21683.0,Demais serviços,75402827,1215,13,9,97,0,2,37,566,102,77,19,7,13,55,37,4,40,48,20,69,0,0,0,0,2,2,2,2,114062768,668988585,12853,4640,0,0,0,0,1
601,Boa Esperança Do Iguaçu,PR,2694,31253.0,"Pecuária, inclusive apoio à pecuária",16028382,105,1,0,6,0,0,3,45,13,4,0,0,0,1,1,2,2,2,1,24,0,0,0,0,0,0,0,0,0,0,809,508,0,0,0,0,1
602,Boa Esperança Do Sul,SP,14638,21317.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",38256314,381,57,0,31,0,0,19,150,39,36,1,0,0,9,15,2,9,4,1,8,0,0,0,0,2,1,2,1,149069050,49210998,4790,755,2,0,0,0,1
603,Boa Hora,PI,6633,6567.0,"Administração, defesa, educação e saúde públicas e seguridade social",17474920,46,3,0,0,0,0,1,28,0,1,0,0,0,0,1,3,7,0,0,2,0,0,0,0,0,0,0,0,0,0,170,801,0,0,0,0,1
604,Boa Nova,BA,14314,6580.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,74,0,0,4,0,0,1,50,1,1,2,0,0,2,2,3,2,2,0,4,0,0,0,0,0,1,0,1,0,0,616,366,0,0,0,0,2
605,Boa Ventura,PB,5410,7187.0,"Administração, defesa, educação e saúde públicas e seguridade social",12213847,49,0,0,6,0,0,0,21,1,1,0,0,0,0,1,2,2,0,0,15,0,0,0,0,0,0,0,0,0,0,254,776,0,0,0,0,1
606,Boa Ventura De São Roque,PR,6674,30409.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",19993377,107,3,0,6,1,1,2,51,8,4,0,1,0,1,3,3,9,4,0,10,0,0,0,0,0,0,0,0,0,0,1628,791,1,0,0,0,1
607,Boa Viagem,CE,53945,6835.0,"Administração, defesa, educação e saúde públicas e seguridade social",86654404,650,0,1,32,0,3,40,293,13,27,5,2,0,13,15,4,73,20,6,103,0,0,0,0,1,3,1,3,71314014,365909656,3524,14077,0,0,0,0,13
608,Boa Vista,RR,326419,24853.0,"Administração, defesa, educação e saúde públicas e seguridade social",829855358,4890,23,6,234,2,12,273,2350,109,426,72,32,50,236,274,30,206,185,61,307,0,2,4,326,9,15,3,3,864717061,5905523894,67640,84374,4,1,0,0,8
609,Boa Vista,PB,6986,18047.0,Indústrias de transformação,0,68,3,5,7,0,0,0,24,4,1,1,0,0,0,1,3,3,1,1,14,0,0,0,0,0,0,0,0,0,0,759,774,0,0,0,0,1
610,Boa Vista Da Aparecida,PR,7939,16871.0,"Administração, defesa, educação e saúde públicas e seguridade social",28566663,195,4,0,19,0,0,7,90,13,11,4,4,1,3,11,2,4,5,3,14,0,0,0,0,1,0,1,0,12955882,0,2516,1322,0,0,0,0,1
611,Boa Vista Das Missões,RS,2168,62148.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",12296207,85,2,0,9,0,0,3,43,8,3,0,0,0,6,1,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,803,253,0,0,0,0,9
612,Boa Vista Do Buricá,RS,6822,27376.0,Demais serviços,19120921,450,0,0,82,0,1,9,194,49,14,6,1,1,27,9,2,1,15,15,24,0,0,0,0,0,2,0,2,0,152264988,2933,1616,4,0,0,0,1
613,Boa Vista Do Cadeado,RS,2524,92160.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",15259199,30,1,0,2,0,0,0,14,4,3,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,622,238,2,0,0,0,1
614,Boa Vista Do Gurupi,MA,9164,6113.0,"Administração, defesa, educação e saúde públicas e seguridade social",19833078,37,0,0,2,0,0,1,31,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131,309,0,0,0,0,1
615,Boa Vista Do Incra,RS,2569,68652.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",15042768,51,1,0,2,0,0,0,22,1,2,1,0,0,3,2,2,5,0,2,8,0,0,0,0,0,1,0,1,0,16395982,757,272,0,0,0,0,1
616,Boa Vista Do Ramos,AM,18080,6089.0,"Administração, defesa, educação e saúde públicas e seguridade social",31111966,44,0,0,0,0,0,0,28,1,1,0,0,0,0,2,2,4,1,0,5,0,0,0,0,0,0,0,0,0,0,6,384,0,0,0,0,3
617,Boa Vista Do Sul,RS,2859,22774.0,"Administração, defesa, educação e saúde públicas e seguridade social",15312366,97,2,0,18,0,0,2,25,31,3,0,0,1,2,2,3,2,0,5,1,0,0,0,0,0,0,0,0,0,0,1133,302,4,0,0,0,1
618,Boa Vista Do Tupim,BA,19516,5984.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,113,4,0,8,0,0,2,69,3,2,1,0,0,0,2,4,1,1,0,16,0,0,0,0,0,1,0,1,0,19834590,815,1234,0,0,0,0,1
619,Boca Da Mata,AL,27498,9670.0,"Administração, defesa, educação e saúde públicas e seguridade social",78247538,236,11,0,14,0,1,8,118,39,9,3,4,1,6,8,2,4,1,3,4,0,0,0,0,1,1,1,1,7862179,68255267,1890,2609,0,0,0,0,1
620,Boca Do Acre,AM,33840,9115.0,"Administração, defesa, educação e saúde públicas e seguridade social",48604231,101,1,0,9,0,0,1,68,2,1,1,0,0,4,0,2,5,2,1,4,0,0,2,140,1,2,1,2,30337421,149731509,505,2283,0,0,0,0,1
621,Bocaina,SP,11926,87644.0,Indústrias de transformação,30711068,524,78,0,162,0,4,5,132,33,25,5,17,5,15,8,2,9,4,4,16,0,0,0,0,2,1,2,1,163377377,38916848,4285,1328,3,0,0,0,1
622,Bocaina,PI,4440,7812.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,30,1,0,0,0,0,0,15,1,0,0,0,0,0,1,3,6,0,1,2,0,0,0,0,0,0,0,0,0,0,365,858,0,0,0,0,1
623,Bocaina De Minas,MG,5180,9799.0,"Administração, defesa, educação e saúde públicas e seguridade social",11668142,146,3,0,15,0,0,0,56,6,51,0,0,0,3,2,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0,1440,1031,0,0,0,0,1
624,Bocaina Do Sul,SC,3440,20560.0,"Produção florestal, pesca e aquicultura",15323808,67,5,0,12,0,0,0,21,2,6,0,0,0,1,2,2,5,3,0,8,0,0,0,0,0,0,0,0,0,0,1031,426,0,0,0,0,0
625,Bocaiúva,MG,49891,14606.0,Demais serviços,79496976,1325,28,6,88,0,1,37,603,106,76,20,6,7,48,46,4,58,52,11,128,0,0,0,0,2,3,2,3,126089543,417422761,9072,7634,0,0,0,0,4
626,Bocaiúva Do Sul,PR,12320,15866.0,"Administração, defesa, educação e saúde públicas e seguridade social",27727677,249,13,1,27,0,1,9,105,19,16,3,3,3,9,8,2,9,1,2,18,0,0,0,0,1,1,1,1,8799577,34804575,3947,1308,1,0,0,0,1
627,Bodocó,PE,37571,6302.0,"Administração, defesa, educação e saúde públicas e seguridade social",61673125,203,1,2,23,0,0,6,131,1,3,2,0,0,8,3,3,7,4,3,6,0,0,0,0,1,1,1,1,30489683,55780926,1573,6309,0,0,0,0,3
628,Bodoquena,MS,7859,25001.0,"Administração, defesa, educação e saúde públicas e seguridade social",37993239,160,10,2,6,0,0,6,69,13,10,0,0,0,2,5,4,6,5,5,17,0,0,1,20,0,1,0,1,0,30396108,1515,1404,0,0,0,0,3
629,Bodó,RN,2332,24758.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,21,0,1,2,0,0,1,4,1,0,0,0,0,0,3,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,247,301,0,0,0,0,1
630,Bofete,SP,11059,14349.0,Demais serviços,31483397,211,27,5,14,0,1,9,93,13,20,2,0,2,5,5,2,5,1,1,6,0,0,0,0,1,0,1,0,71076059,0,3327,748,0,0,0,0,2
631,Boituva,SP,56830,45942.0,Demais serviços,161967118,2462,51,1,271,0,12,124,968,138,228,47,23,52,101,174,2,69,81,35,85,0,0,0,0,5,2,3,2,500353322,571621983,25813,6924,8,0,1,0,1
632,Bom Conselho,PE,47991,9926.0,"Administração, defesa, educação e saúde públicas e seguridade social",75143122,252,4,0,20,0,1,7,148,4,11,2,1,4,12,5,3,9,7,2,12,0,0,0,0,2,3,2,3,85836781,248106758,3192,7350,0,0,0,0,5
633,Bom Despacho,MG,49650,23101.0,Demais serviços,0,1545,23,9,166,1,2,81,644,96,81,24,18,18,63,108,5,47,77,19,63,0,0,0,0,3,2,3,2,227613155,10058021033,16653,6213,4,0,0,0,3
634,Bom Jardim,PE,38976,8113.0,"Administração, defesa, educação e saúde públicas e seguridade social",67894391,407,0,3,32,0,3,12,224,7,15,3,1,0,9,16,5,19,4,2,52,0,0,0,0,0,1,0,1,0,46537811,4060,3935,0,0,0,0,5
635,Bom Jardim,MA,40898,6809.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,209,1,0,2,0,0,4,99,0,3,2,1,2,1,3,2,59,2,1,27,0,0,0,0,1,1,1,1,7645870,53260335,790,5049,0,0,0,0,1
636,Bom Jardim,RJ,26424,25701.0,Demais serviços,0,727,9,7,138,0,1,15,343,35,41,13,1,0,16,19,3,30,16,6,34,0,0,0,0,2,2,2,2,110361173,234963665,7640,3177,1,0,0,0,6
637,Bom Jardim Da Serra,SC,4663,24917.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",17712943,116,2,0,8,5,0,4,44,3,20,0,0,1,6,3,2,4,2,1,11,0,0,0,0,0,0,0,0,0,0,1237,354,2,0,0,0,1
638,Bom Jardim De Goiás,GO,8862,16231.0,"Pecuária, inclusive apoio à pecuária",18945774,148,3,1,7,0,0,5,83,16,5,1,0,0,5,2,7,3,3,1,6,0,0,0,0,1,1,1,1,23390432,99793499,1299,1682,0,0,0,0,1
639,Bom Jardim De Minas,MG,6648,17875.0,"Produção florestal, pesca e aquicultura",15138728,196,4,1,14,0,0,4,110,6,20,3,1,1,6,3,2,6,6,2,7,0,0,0,0,0,0,0,0,0,0,2173,857,0,0,0,0,2
640,Bom Jesus,SC,2870,32928.0,Demais serviços,12354023,77,1,0,4,0,0,2,34,22,5,0,0,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1017,337,0,0,0,0,1
641,Bom Jesus,RS,11784,28060.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",31304709,241,15,0,32,0,1,4,100,16,21,1,0,0,15,2,3,9,5,2,15,0,0,1,54,0,3,0,3,0,290514949,3362,520,4,0,0,0,3
642,Bom Jesus,PB,2550,9937.0,"Administração, defesa, educação e saúde públicas e seguridade social",11072139,22,1,0,2,0,0,0,10,0,0,0,0,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,175,329,0,0,0,0,1
643,Bom Jesus,PI,24532,20938.0,Demais serviços,66167040,716,16,1,45,0,1,23,446,25,31,4,2,6,23,22,3,17,17,5,29,0,0,1,58,1,3,1,3,55628493,1050828100,2035,7430,0,0,0,0,1
644,Bom Jesus,RN,10185,7249.0,"Administração, defesa, educação e saúde públicas e seguridade social",18938259,78,2,0,4,0,0,2,41,2,2,0,0,1,2,4,4,8,0,2,4,0,0,0,0,0,0,0,0,0,0,961,1166,0,0,0,0,1
645,Bom Jesus Da Lapa,BA,70090,11762.0,Demais serviços,178114702,1329,68,0,48,1,1,31,742,13,86,12,6,12,25,31,2,88,43,13,107,0,0,0,0,2,3,2,3,121075124,659823797,5259,13864,0,0,0,0,2
646,Bom Jesus Da Penha,MG,4177,29692.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",15603920,111,3,0,3,0,0,8,34,17,3,1,0,0,5,1,3,3,2,2,26,0,0,0,0,0,1,0,1,0,42680426,1295,1076,0,0,0,0,1
647,Bom Jesus Da Serra,BA,10515,4973.0,"Administração, defesa, educação e saúde públicas e seguridade social",24256639,43,0,0,1,0,0,1,24,0,0,0,0,0,1,1,1,1,1,0,12,0,0,0,0,0,0,0,0,0,0,434,326,0,0,0,0,1
648,Bom Jesus Das Selvas,MA,33615,7531.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,266,7,0,12,0,2,4,165,3,19,3,0,1,1,6,3,1,1,2,36,0,0,0,0,0,0,0,0,0,0,546,3581,0,0,0,0,1
649,Bom Jesus De Goiás,GO,23632,32369.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",62467048,575,11,0,29,0,0,16,300,61,27,4,4,4,22,22,7,21,16,8,23,0,0,1,17,2,2,2,2,89347813,960817285,0,0,0,0,0,0,1
650,Bom Jesus Do Amparo,MG,5972,12108.0,Demais serviços,14834347,143,4,3,12,0,0,1,60,3,20,1,0,3,3,4,2,3,2,2,20,0,0,0,0,0,0,0,0,0,0,1430,519,0,0,0,0,1
651,Bom Jesus Do Araguaia,MT,6144,42324.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",20103668,72,0,0,4,0,0,1,50,1,1,0,0,3,0,1,5,2,2,0,2,0,0,0,0,0,0,0,0,0,0,587,1318,0,0,0,0,1
652,Bom Jesus Do Galho,MG,15500,8852.0,"Administração, defesa, educação e saúde públicas e seguridade social",22583080,167,3,1,4,2,0,5,96,10,8,2,2,0,2,3,2,1,7,4,15,0,0,0,0,1,0,1,0,30711602,0,1878,2366,0,0,0,0,4
653,Bom Jesus Do Itabapoana,RJ,36031,19756.0,Demais serviços,89880666,826,1,5,73,0,3,33,386,20,43,7,4,8,29,56,2,32,45,11,68,0,0,0,0,2,2,2,2,133419195,427181585,5769,6090,1,0,0,0,8
654,Bom Jesus Do Norte,ES,10215,13117.0,"Administração, defesa, educação e saúde públicas e seguridade social",24358119,183,0,2,11,0,0,8,101,7,9,3,1,1,4,11,2,5,4,3,11,0,0,0,0,0,1,0,1,0,52979033,6359,4328,5,0,0,0,1
655,Bom Jesus Do Oeste,SC,2153,19886.0,"Administração, defesa, educação e saúde públicas e seguridade social",12963723,50,0,0,6,0,1,3,24,11,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,827,306,0,0,0,0,1
656,Bom Jesus Do Sul,PR,3755,19339.0,"Administração, defesa, educação e saúde públicas e seguridade social",16099903,87,0,0,8,0,0,3,26,9,2,2,0,1,2,1,5,8,4,0,16,0,0,0,0,0,0,0,0,0,0,1140,574,0,0,0,0,1
657,Bom Jesus Do Tocantins,PA,16375,9373.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,141,2,1,12,0,0,3,67,4,1,1,0,0,3,4,4,13,0,1,25,0,0,0,0,0,2,0,2,0,68197715,540,1801,0,0,0,0,1
658,Bom Jesus Do Tocantins,TO,4590,13408.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,27,1,0,0,0,0,1,17,0,1,0,0,0,1,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,191,603,0,0,0,0,0
659,Bom Jesus Dos Perdões,SP,23530,23408.0,Demais serviços,57356270,587,4,0,127,0,7,20,213,24,33,12,7,9,21,59,3,17,13,2,16,0,0,0,0,2,2,2,2,188293992,157369762,8855,3333,7,0,0,0,1
660,Bom Lugar,MA,16041,5409.0,"Administração, defesa, educação e saúde públicas e seguridade social",26950802,37,0,0,0,0,0,1,24,0,0,0,0,0,0,1,2,4,0,0,5,0,0,0,0,0,0,0,0,0,0,276,1623,0,0,0,0,1
661,Bom Princípio,RS,13064,40058.0,Demais serviços,45196750,798,2,0,222,0,5,65,242,55,32,9,7,6,26,22,2,26,15,14,48,0,0,0,0,0,3,0,3,0,266124263,5933,1649,30,0,0,0,0
