,CITY,STATE,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,Cars,Motorcycles,Wheeled_tractor,UBER,MAC,WAL-MART,POST_OFFICES
4323,Santa Bárbara Do Monte Verde,MG,3067,13034.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,65,1,2,2,0,0,3,32,3,2,0,0,0,1,0,2,0,1,0,16,0,0,0,0,0,0,0,0,0,0,1874,539,0,0,0,0,1
4324,Santa Bárbara Do Pará,PA,20077,7292.0,"Administração, defesa, educação e saúde públicas e seguridade social",30515335,106,1,2,19,0,1,4,38,3,0,1,0,4,2,2,2,18,0,0,9,0,0,0,0,0,1,0,1,0,14321774,949,1596,0,0,0,0,1
4325,Santa Bárbara Do Sul,RS,8742,72532.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",34384467,260,4,0,20,0,0,5,109,14,16,4,3,0,16,5,3,16,13,6,26,0,0,0,0,0,2,0,2,0,364922723,3397,545,11,0,0,0,1
4326,Santa Bárbara Do Tugúrio,MG,4603,10933.0,"Administração, defesa, educação e saúde públicas e seguridade social",12319819,65,1,0,6,0,0,3,28,8,8,0,0,0,1,2,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,900,516,0,0,0,0,2
4327,Santa Carmem,MT,4326,78374.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",23845989,115,12,0,16,0,1,9,42,12,5,1,0,1,4,2,2,0,1,2,5,0,0,0,0,1,0,1,0,12158259,0,824,864,1,0,0,0,1
4328,Santa Cecília,SC,16606,21636.0,Indústrias de transformação,40125835,436,42,1,65,1,0,22,179,43,28,2,4,1,5,8,2,7,9,4,13,0,0,0,0,1,1,1,1,7723864,114202647,6069,1006,3,0,0,0,1
4329,Santa Cecília,PB,6570,7454.0,"Administração, defesa, educação e saúde públicas e seguridade social",16244744,42,0,5,5,0,0,0,23,0,0,0,0,0,1,0,2,2,1,0,3,0,0,0,0,0,0,0,0,0,0,112,124,0,0,0,0,0
4330,Santa Cecília Do Pavão,PR,3570,30299.0,Demais serviços,12367504,72,0,0,1,0,2,1,37,3,6,1,0,0,3,2,2,1,2,1,10,0,0,0,0,0,0,0,0,0,0,1198,494,0,0,0,0,1
4331,Santa Cecília Do Sul,RS,1696,43398.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",10979339,42,0,0,2,0,1,0,17,7,0,0,0,0,0,1,4,3,0,1,6,0,0,0,0,0,0,0,0,0,0,533,231,0,0,0,0,1
4332,Santa Clara D'Oeste,SP,2136,24072.0,Demais serviços,13545877,50,3,1,3,0,0,1,23,5,3,0,0,1,1,4,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,738,245,0,0,0,0,1
4333,Santa Clara Do Sul,RS,6235,37195.0,Indústrias de transformação,19936552,275,1,0,48,0,1,28,95,15,13,4,2,3,10,10,1,4,3,12,25,0,0,0,0,0,2,0,2,0,50670995,2624,1210,11,0,0,0,1
4334,Santa Cruz,RN,39300,11736.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,549,2,0,41,0,1,21,318,8,30,8,5,5,13,28,3,26,14,9,17,0,0,0,0,1,3,1,3,68610223,627837641,5066,9588,1,0,0,0,1
4335,Santa Cruz,PB,6582,7633.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,78,0,0,3,0,0,2,47,2,2,1,0,0,1,2,3,3,0,1,11,0,0,0,0,0,0,0,0,0,0,292,765,0,0,0,0,0
4336,Santa Cruz,PE,15032,6521.0,"Administração, defesa, educação e saúde públicas e seguridade social",30742640,104,0,0,2,0,0,3,70,0,2,0,0,1,2,3,3,14,0,0,4,0,0,0,0,0,0,0,0,0,0,562,2058,0,0,0,0,1
4337,Santa Cruz Cabrália,BA,28394,11956.0,Demais serviços,63249937,399,9,4,32,0,0,16,176,11,80,4,0,12,7,21,3,7,4,4,9,0,0,1,180,1,2,1,2,8620066,77703866,2331,2756,0,0,0,0,1
4338,Santa Cruz Da Baixa Verde,PE,12439,6355.0,"Administração, defesa, educação e saúde públicas e seguridade social",30256222,117,3,0,4,0,0,0,62,3,0,0,0,0,0,3,5,9,3,1,24,0,0,0,0,0,0,0,0,0,0,789,2565,0,0,0,0,2
4339,Santa Cruz Da Conceição,SP,4371,30072.0,Demais serviços,19149860,165,62,4,18,0,0,2,37,7,11,1,1,4,1,9,2,1,2,0,3,0,0,0,0,0,1,0,1,0,29404900,1613,408,0,0,0,0,1
4340,Santa Cruz Da Esperança,SP,2097,24047.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",13507996,137,106,1,3,0,1,1,13,3,4,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,551,52,0,0,0,0,1
4341,Santa Cruz Da Vitória,BA,6723,8154.0,"Administração, defesa, educação e saúde públicas e seguridade social",0,68,2,0,3,0,0,3,29,1,2,1,0,0,0,3,2,8,3,0,11,0,0,0,0,1,0,1,0,8723463,0,284,174,0,0,0,0,1
4342,Santa Cruz Das Palmeiras,SP,33106,13688.0,Demais serviços,0,836,39,1,43,0,1,17,364,135,73,6,5,4,20,34,2,24,28,12,28,0,0,0,0,2,2,2,2,159152866,314575463,10239,3750,0,0,0,0,1
4343,Santa Cruz De Goiás,GO,3071,34771.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",11650264,33,5,1,2,0,0,0,12,1,1,0,0,1,1,2,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,422,169,0,0,0,0,2
4344,Santa Cruz De Minas,MG,8489,8821.0,Demais serviços,12648258,205,0,1,76,0,0,3,77,7,9,3,0,1,7,5,1,2,1,3,9,0,0,0,0,0,0,0,0,0,0,1730,1474,0,0,0,0,1
4345,Santa Cruz De Monte Castelo,PR,8140,32355.0,"Agricultura, inclusive apoio à agricultura e a pós colheita",22087533,282,4,0,37,0,1,2,151,18,8,0,0,0,8,10,2,12,5,5,19,0,0,0,0,1,1,1,1,35995676,172111760,2935,1588,6,0,0,0,2
